Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
4/26/2017,11:43:00 AM,0:07:00,,11:50:00 AM,12:50:00 PM,1:00:00,N/A,60.00,7.00
4/26/2017,2:30:00 PM,0:00:00,,2:30:00 PM,3:35:00 PM,1:05:00,N/A,65.00,0.00
4/26/2017,4:17:00 PM,0:00:00,,4:17:00 PM,6:15:00 PM,1:58:00,Car,118.00,0.00
4/26/2017,9:45:00 PM,0:45:00,3,10:30:00 PM,12:45:00 AM,2:15:00,Crib,135.00,45.00
4/27/2017,1:00:00 AM,0:00:00,,1:00:00 AM,3:35:00 AM,2:35:00,Crib,155.00,0.00
4/27/2017,4:45:00 AM,0:00:00,,4:45:00 AM,6:30:00 AM,1:45:00,Crib,105.00,0.00
4/27/2017,6:50:00 AM,0:00:00,,6:50:00 AM,8:40:00 AM,1:50:00,Bed,110.00,0.00
4/27/2017,12:00:00 PM,0:00:00,,12:00:00 PM,1:00:00 PM,1:00:00,Crib,60.00,0.00
4/27/2017,3:30:00 PM,0:00:00,,3:30:00 PM,4:20:00 PM,0:50:00,Crib,50.00,0.00
4/27/2017,7:28:00 PM,0:00:00,,7:28:00 PM,8:10:00 PM,0:42:00,Crib,42.00,0.00
4/27/2017,10:00:00 PM,1:16:00,3,11:16:00 PM,4:24:00 AM,5:08:00,Crib,308.00,76.00
4/28/2017,4:35:00 AM,0:05:00,1,4:40:00 AM,6:23:00 AM,1:43:00,Crib,103.00,5.00
4/28/2017,6:31:00 AM,0:14:00,,6:45:00 AM,7:40:00 AM,0:55:00,Bed,55.00,14.00
4/28/2017,10:20:00 AM,0:00:00,,10:20:00 AM,11:42:00 AM,1:22:00,Car,82.00,0.00
4/28/2017,2:31:00 PM,0:14:00,,2:45:00 PM,4:16:00 PM,1:31:00,Crib,91.00,14.00
4/28/2017,5:45:00 PM,0:00:00,,5:45:00 PM,6:30:00 PM,0:45:00,Car,45.00,0.00
4/28/2017,11:00:00 PM,0:09:00,,11:09:00 PM,6:16:00 AM,7:07:00,Crib,427.00,9.00
4/29/2017,6:54:00 AM,0:00:00,,6:54:00 AM,8:57:00 AM,2:03:00,Crib,123.00,0.00
4/29/2017,11:22:00 AM,0:00:00,,11:22:00 AM,12:35:00 PM,1:13:00,Car,73.00,0.00
4/29/2017,2:52:00 PM,0:03:00,,2:55:00 PM,3:50:00 PM,0:55:00,Car,55.00,3.00
4/29/2017,6:00:00 PM,0:32:00,1,6:32:00 PM,7:40:00 PM,1:08:00,Crib,68.00,32.00
